Estación: ,C19051,POTRERO REDONDO.SANTIAGO
Variable: ,Precipitación (mm)
Longitud: ,100° 10' 00'',Latitud:,25° 20' 00

Fecha,Valor,NúmDatos
1966-11-09,20,CLIC
1966-11-10,3,CLIC
1966-11-11,0,CLIC
1966-11-12,0,CLIC
1966-11-13,0,CLIC
1966-11-14,0,CLIC
1966-11-15,0,CLIC
1966-11-16,0,CLIC
1966-11-17,0,CLIC
1966-11-18,0,CLIC
1966-11-19,0,CLIC
1966-11-20,0,CLIC
1966-11-21,0,CLIC
1966-11-22,0,CLIC
1966-11-23,0,CLIC
1966-11-24,0,CLIC
1966-11-25,0,CLIC
1966-11-26,0,CLIC
1966-11-27,0,CLIC
1966-11-28,0,CLIC
1966-11-29,0,CLIC
1966-11-30,0,CLIC
1966-12-01,0,CLIC
1966-12-02,0,CLIC
1966-12-03,0,CLIC
1966-12-04,0,CLIC
1966-12-05,0,CLIC
1966-12-06,0,CLIC
1966-12-07,0,CLIC
1966-12-08,0,CLIC
1966-12-09,0,CLIC
1966-12-10,0,CLIC
1966-12-11,0,CLIC
1966-12-12,0,CLIC
1966-12-13,0,CLIC
1966-12-14,0,CLIC
1966-12-15,3,CLIC
1966-12-16,6,CLIC
1966-12-17,0,CLIC
1966-12-18,0,CLIC
1966-12-19,0,CLIC
1966-12-20,0,CLIC
1966-12-21,0,CLIC
1966-12-22,0,CLIC
1966-12-23,6,CLIC
1966-12-24,10,CLIC
1966-12-25,0,CLIC
1966-12-26,0,CLIC
1966-12-27,0,CLIC
1966-12-28,0,CLIC
1966-12-29,0,CLIC
1966-12-30,0,CLIC
1966-12-31,0,CLIC
1967-01-01,0,CLIC
1967-01-02,0,CLIC
1967-01-03,0,CLIC
1967-01-04,0,CLIC
1967-01-05,0,CLIC
1967-01-06,0,CLIC
1967-01-07,23,CLIC
1967-01-08,10,CLIC
1967-01-09,0,CLIC
1967-01-10,0,CLIC
1967-01-11,0,CLIC
1967-01-12,0,CLIC
1967-01-13,0,CLIC
1967-01-14,0,CLIC
1967-01-15,0,CLIC
1967-01-16,0,CLIC
1967-01-17,0,CLIC
1967-01-18,0,CLIC
1967-01-19,0,CLIC
1967-01-20,0,CLIC
1967-01-21,0,CLIC
1967-01-22,0,CLIC
1967-01-23,0,CLIC
1967-01-24,0,CLIC
1967-01-25,0,CLIC
1967-01-26,0,CLIC
1967-01-27,0,CLIC
1967-01-28,0,CLIC
1967-01-29,0,CLIC
1967-01-30,0,CLIC
1967-01-31,33,CLIC
1967-02-01,0,CLIC
1967-02-02,0,CLIC
1967-02-03,0,CLIC
1967-02-04,0,CLIC
1967-02-05,0,CLIC
1967-02-06,0,CLIC
1967-02-07,0,CLIC
1967-02-08,0,CLIC
1967-02-09,0,CLIC
1967-02-10,0,CLIC
1967-02-11,0,CLIC
1967-02-12,0,CLIC
1967-02-13,0,CLIC
1967-02-14,10,CLIC
1967-02-15,8,CLIC
1967-02-16,0,CLIC
1967-02-17,0,CLIC
1967-02-18,0,CLIC
1967-02-19,6,CLIC
1967-02-20,5,CLIC
1967-02-21,2,CLIC
1967-02-22,0,CLIC
1967-02-23,0,CLIC
1967-02-24,0,CLIC
1967-02-25,0,CLIC
1967-02-26,0,CLIC
1967-02-27,10,CLIC
1967-02-28,9,CLIC
1967-06-01,7,CLIC
1967-06-02,4,CLIC
1967-06-03,10,CLIC
1967-06-04,8,CLIC
1967-06-05,0,CLIC
1967-06-06,0,CLIC
1967-06-07,0,CLIC
1967-06-08,0,CLIC
1967-06-09,0,CLIC
1967-06-10,0,CLIC
1967-06-11,0,CLIC
1967-06-12,20,CLIC
1967-06-13,0,CLIC
1967-06-14,0,CLIC
1967-06-15,0,CLIC
1967-06-16,18,CLIC
1967-06-17,10,CLIC
1967-06-18,0,CLIC
1967-06-19,0,CLIC
1967-06-20,0,CLIC
1967-06-21,6,CLIC
1967-06-22,18,CLIC
1967-06-23,0,CLIC
1967-06-24,0,CLIC
1967-06-25,0,CLIC
1967-06-26,0,CLIC
1967-06-27,0,CLIC
1967-06-28,0,CLIC
1967-06-29,0,CLIC
1967-06-30,0,CLIC
1967-07-01,0,CLIC
1967-07-02,0,CLIC
1967-07-03,0,CLIC
1967-07-04,0,CLIC
1967-07-05,0,CLIC
1967-07-06,0,CLIC
1967-07-07,0,CLIC
1967-07-08,0,CLIC
1967-07-09,0,CLIC
1967-07-10,0,CLIC
1967-07-11,0,CLIC
1967-07-12,24,CLIC
1967-07-13,23,CLIC
1967-07-14,20,CLIC
1967-07-15,0,CLIC
1967-07-16,0,CLIC
1967-07-17,0,CLIC
1967-07-18,0,CLIC
1967-07-19,0,CLIC
1967-07-20,0,CLIC
1967-07-21,0,CLIC
1967-07-22,0,CLIC
1967-07-23,0,CLIC
1967-07-24,0,CLIC
1967-07-25,0,CLIC
1967-07-26,0,CLIC
1967-07-27,0,CLIC
1967-07-28,0,CLIC
1967-07-29,0,CLIC
1967-07-31,0,CLIC
1967-08-01,0,CLIC
1967-08-02,0,CLIC
1967-08-03,0,CLIC
1967-08-04,0,CLIC
1967-08-05,0,CLIC
1967-08-06,0,CLIC
1967-08-07,0,CLIC
1967-08-08,0,CLIC
1967-08-09,0.3,CLIC
1967-08-10,65,CLIC
1967-08-11,10,CLIC
1967-08-12,0,CLIC
1967-08-13,0,CLIC
1967-08-14,0,CLIC
1967-08-15,0,CLIC
1967-08-16,0,CLIC
1967-08-17,0,CLIC
1967-08-18,0.9,CLIC
1967-08-19,15,CLIC
1967-08-20,30,CLIC
1967-08-21,60,CLIC
1967-08-22,70,CLIC
1967-08-23,68,CLIC
1967-08-24,95,CLIC
1967-08-25,75,CLIC
1967-08-26,55,CLIC
1967-08-27,90,CLIC
1967-08-28,0.3,CLIC
1967-08-29,0,CLIC
1967-08-30,0,CLIC
1967-08-31,0,CLIC
1967-09-01,8,CLIC
1967-09-02,0,CLIC
1967-09-03,0,CLIC
1967-09-04,0,CLIC
1967-09-05,10,CLIC
1967-09-06,0.6,CLIC
1967-09-07,0.9,CLIC
1967-09-08,1,CLIC
1967-09-09,15,CLIC
1967-09-10,78,CLIC
1967-09-11,23,CLIC
1967-09-12,12,CLIC
1967-09-13,16,CLIC
1967-09-14,0.6,CLIC
1967-09-15,26,CLIC
1967-09-16,13,CLIC
1967-09-17,0.3,CLIC
1967-09-18,0,CLIC
1967-09-19,36,CLIC
1967-09-20,18,CLIC
1967-09-21,15,CLIC
1967-09-22,260,CLIC
1967-09-23,60,CLIC
1967-09-24,0,CLIC
1967-09-25,8,CLIC
1967-09-26,6,CLIC
1967-09-27,0,CLIC
1967-09-28,0,CLIC
1967-09-29,3,CLIC
1967-09-30,0,CLIC
1967-10-01,0,CLIC
1967-10-02,0,CLIC
1967-10-03,0,CLIC
1967-10-04,0,CLIC
1967-10-05,0,CLIC
1967-10-06,0,CLIC
1967-10-07,0,CLIC
1967-10-08,0,CLIC
1967-10-09,0,CLIC
1967-10-10,0,CLIC
1967-10-11,0,CLIC
1967-10-12,0,CLIC
1967-10-13,0,CLIC
1967-10-14,0,CLIC
1967-10-15,25,CLIC
1967-10-16,0,CLIC
1967-10-17,0,CLIC
1967-10-18,0,CLIC
1967-10-19,0,CLIC
1967-10-20,0,CLIC
1967-10-21,0,CLIC
1967-10-22,0,CLIC
1967-10-23,0,CLIC
1967-10-24,0,CLIC
1967-10-25,0,CLIC
1967-10-26,0,CLIC
1967-10-27,0,CLIC
1967-10-28,2,CLIC
1967-10-29,0,CLIC
1967-10-30,0,CLIC
1967-10-31,0,CLIC
1967-11-01,0,CLIC
1967-11-02,0,CLIC
1967-11-03,0,CLIC
1967-11-04,0,CLIC
1967-11-05,0,CLIC
1967-11-06,0,CLIC
1967-11-07,0,CLIC
1967-11-08,0,CLIC
1967-11-09,18,CLIC
1967-11-10,0,CLIC
1967-11-11,0,CLIC
1967-11-12,0,CLIC
1967-11-13,0,CLIC
1967-11-14,0,CLIC
1967-11-15,0,CLIC
1967-11-16,0,CLIC
1967-11-17,0,CLIC
1967-11-18,0,CLIC
1967-11-19,0,CLIC
1967-11-20,0,CLIC
1967-11-21,0,CLIC
1967-11-22,0,CLIC
1967-11-23,0,CLIC
1967-11-24,0,CLIC
1967-11-25,0,CLIC
1967-11-26,0,CLIC
1967-11-27,0,CLIC
1967-11-28,0,CLIC
1967-11-29,0,CLIC
1967-11-30,0,CLIC
1967-12-01,0,CLIC
1967-12-02,0,CLIC
1967-12-03,0,CLIC
1967-12-04,0,CLIC
1967-12-05,0,CLIC
1967-12-06,0,CLIC
1967-12-07,0,CLIC
1967-12-08,0,CLIC
1967-12-09,0,CLIC
1967-12-10,0,CLIC
1967-12-11,0,CLIC
1967-12-12,0,CLIC
1967-12-13,0,CLIC
1967-12-14,0,CLIC
1967-12-15,0,CLIC
1967-12-16,0,CLIC
1967-12-17,0,CLIC
1967-12-18,0,CLIC
1967-12-19,0,CLIC
1967-12-20,0,CLIC
1967-12-21,0,CLIC
1967-12-22,0,CLIC
1967-12-23,0,CLIC
1967-12-24,0,CLIC
1967-12-25,0,CLIC
1967-12-26,0,CLIC
1967-12-27,0,CLIC
1967-12-28,0,CLIC
1967-12-29,0,CLIC
1967-12-30,0,CLIC
1967-12-31,0,CLIC
1968-01-01,0,CLIC
1968-01-02,0,CLIC
1968-01-03,0,CLIC
1968-01-04,0,CLIC
1968-01-05,0,CLIC
1968-01-06,0,CLIC
1968-01-07,10,CLIC
1968-01-08,0,CLIC
1968-01-09,0,CLIC
1968-01-10,0,CLIC
1968-01-11,0,CLIC
1968-01-12,0,CLIC
1968-01-13,0,CLIC
1968-01-14,0,CLIC
1968-01-15,0,CLIC
1968-01-16,0,CLIC
1968-01-17,0,CLIC
1968-01-18,0,CLIC
1968-01-19,11,CLIC
1968-01-20,0,CLIC
1968-01-21,0,CLIC
1968-01-22,0,CLIC
1968-01-23,0,CLIC
1968-01-24,0,CLIC
1968-01-25,0,CLIC
1968-01-26,0,CLIC
1968-01-27,0,CLIC
1968-01-28,0,CLIC
1968-01-29,0,CLIC
1968-01-30,0,CLIC
1968-01-31,0,CLIC
1968-02-01,0,CLIC
1968-02-02,0,CLIC
1968-02-03,0,CLIC
1968-02-04,0,CLIC
1968-02-05,0,CLIC
1968-02-06,6,CLIC
1968-02-07,8,CLIC
1968-02-08,14,CLIC
1968-02-09,0,CLIC
1968-02-10,0,CLIC
1968-02-11,0,CLIC
1968-02-12,0,CLIC
1968-02-13,0,CLIC
1968-02-14,0,CLIC
1968-02-15,0,CLIC
1968-02-16,0,CLIC
1968-02-17,0,CLIC
1968-02-18,10,CLIC
1968-02-19,18,CLIC
1968-02-20,20,CLIC
1968-02-21,3,CLIC
1968-02-22,0,CLIC
1968-02-23,0,CLIC
1968-02-24,0,CLIC
1968-02-25,0,CLIC
1968-02-26,0,CLIC
1968-02-27,0,CLIC
1968-02-28,0,CLIC
1968-02-29,0,CLIC
1968-03-01,0,CLIC
1968-03-02,4,CLIC
1968-03-03,11,CLIC
1968-03-04,16,CLIC
1968-03-05,22,CLIC
1968-03-06,0,CLIC
1968-03-07,0,CLIC
1968-03-08,0,CLIC
1968-03-09,0,CLIC
1968-03-10,0,CLIC
1968-03-11,0,CLIC
1968-03-12,0,CLIC
1968-03-13,0,CLIC
1968-03-14,0,CLIC
1968-03-15,0,CLIC
1968-03-16,0,CLIC
1968-03-17,0,CLIC
1968-03-18,0,CLIC
1968-03-19,0,CLIC
1968-03-20,0,CLIC
1968-03-21,0,CLIC
1968-03-22,0,CLIC
1968-03-23,0,CLIC
1968-03-24,0,CLIC
1968-03-25,0,CLIC
1968-03-26,8,CLIC
1968-03-27,6,CLIC
1968-03-28,12,CLIC
1968-03-29,0,CLIC
1968-03-30,0,CLIC
1968-03-31,0,CLIC
1968-04-01,0,CLIC
1968-04-02,0,CLIC
1968-04-03,0,CLIC
1968-04-04,0,CLIC
1968-04-05,0,CLIC
1968-04-06,0,CLIC
1968-04-07,0,CLIC
1968-04-08,12,CLIC
1968-04-09,14,CLIC
1968-04-10,32,CLIC
1968-04-11,9,CLIC
1968-04-12,0,CLIC
1968-04-13,0,CLIC
1968-04-14,0,CLIC
1968-04-15,0,CLIC
1968-04-16,0,CLIC
1968-04-17,0,CLIC
1968-04-18,0,CLIC
1968-04-19,0,CLIC
1968-04-20,3,CLIC
1968-04-21,9,CLIC
1968-04-22,10,CLIC
1968-04-23,4,CLIC
1968-04-24,0,CLIC
1968-04-25,0,CLIC
1968-04-26,0,CLIC
1968-04-27,14,CLIC
1968-04-28,26,CLIC
1968-04-29,50,CLIC
1968-04-30,13,CLIC
1968-05-01,32,CLIC
1968-05-02,44,CLIC
1968-05-03,12,CLIC
1968-05-04,8,CLIC
1968-05-05,6,CLIC
1968-05-06,0,CLIC
1968-05-07,0,CLIC
1968-05-08,0,CLIC
1968-05-09,0,CLIC
1968-05-10,0,CLIC
1968-05-11,0,CLIC
1968-05-12,0,CLIC
1968-05-13,0,CLIC
1968-05-14,0,CLIC
1968-05-15,0,CLIC
1968-05-16,0,CLIC
1968-05-17,6,CLIC
1968-05-18,20,CLIC
1968-05-19,0,CLIC
1968-05-20,0,CLIC
1968-05-21,0,CLIC
1968-05-22,0,CLIC
1968-05-23,0,CLIC
1968-05-24,0,CLIC
1968-05-25,0,CLIC
1968-05-26,0,CLIC
1968-05-27,0,CLIC
1968-05-28,0,CLIC
1968-05-29,0,CLIC
1968-05-30,0,CLIC
1968-05-31,6,CLIC
1968-06-01,0,CLIC
1968-06-02,0,CLIC
1968-06-03,0,CLIC
1968-06-04,0,CLIC
1968-06-05,8,CLIC
1968-06-06,12,CLIC
1968-06-07,36,CLIC
1968-06-08,63,CLIC
1968-06-09,16,CLIC
1968-06-10,4,CLIC
1968-06-11,0,CLIC
1968-06-12,0,CLIC
1968-06-13,0,CLIC
1968-06-14,0,CLIC
1968-06-15,0,CLIC
1968-06-16,0,CLIC
1968-06-17,20,CLIC
1968-06-18,15,CLIC
1968-06-19,11,CLIC
1968-06-20,30,CLIC
1968-06-21,35,CLIC
1968-06-22,13,CLIC
1968-06-23,20,CLIC
1968-06-24,25,CLIC
1968-06-25,13,CLIC
1968-06-26,9,CLIC
1968-06-27,0,CLIC
1968-06-28,10,CLIC
1968-06-29,0,CLIC
1968-06-30,14,CLIC
1968-07-01,28,CLIC
1968-07-02,64,CLIC
1968-07-03,22,CLIC
1968-07-04,10,CLIC
1968-07-05,6,CLIC
1968-07-06,0,CLIC
1968-07-07,0,CLIC
1968-07-08,0,CLIC
1968-07-09,0,CLIC
1968-07-10,0,CLIC
1968-07-11,0,CLIC
1968-07-12,0,CLIC
1968-07-13,0,CLIC
1968-07-14,0,CLIC
1968-07-15,0,CLIC
1968-07-16,0,CLIC
1968-07-17,0,CLIC
1968-07-18,6,CLIC
1968-07-19,8,CLIC
1968-07-20,3,CLIC
1968-07-21,2,CLIC
1968-07-22,0,CLIC
1968-07-23,0,CLIC
1968-07-24,0,CLIC
1968-07-25,0,CLIC
1968-07-26,0,CLIC
1968-07-27,0,CLIC
1968-07-28,0,CLIC
1968-07-29,0,CLIC
1968-07-30,0,CLIC
1968-07-31,0,CLIC
1968-08-01,0,CLIC
1968-08-02,0,CLIC
1968-08-03,0,CLIC
1968-08-04,0,CLIC
1968-08-05,0,CLIC
1968-08-06,0,CLIC
1968-08-07,0,CLIC
1968-08-08,0,CLIC
1968-08-09,0,CLIC
1968-08-10,0,CLIC
1968-08-11,0,CLIC
1968-08-12,0,CLIC
1968-08-13,0,CLIC
1968-08-14,0,CLIC
1968-08-15,0,CLIC
1968-08-16,0,CLIC
1968-08-17,0,CLIC
1968-08-18,0,CLIC
1968-08-19,0,CLIC
1968-08-20,0,CLIC
1968-08-21,0,CLIC
1968-08-22,0,CLIC
1968-08-23,0,CLIC
1968-08-24,0,CLIC
1968-08-25,50,CLIC
1968-08-26,9,CLIC
1968-08-27,15,CLIC
1968-08-28,6,CLIC
1968-08-29,17,CLIC
1968-08-30,4,CLIC
1968-08-31,0,CLIC
1968-09-01,20,CLIC
1968-09-02,43,CLIC
1968-09-03,12,CLIC
1968-09-04,4,CLIC
1968-09-05,2,CLIC
1968-09-06,9,CLIC
1968-09-07,80,CLIC
1968-09-08,32,CLIC
1968-09-09,92,CLIC
1968-09-10,6,CLIC
1968-09-11,2,CLIC
1968-09-12,1,CLIC
1968-09-13,16,CLIC
1968-09-14,8,CLIC
1968-09-15,16,CLIC
1968-09-16,35,CLIC
1968-09-17,15,CLIC
1968-09-18,12,CLIC
1968-09-19,4,CLIC
1968-09-20,6,CLIC
1968-09-21,2,CLIC
1968-09-22,2,CLIC
1968-09-23,23,CLIC
1968-09-24,14,CLIC
1968-09-25,0,CLIC
1968-09-26,38,CLIC
1968-09-27,0,CLIC
1968-09-28,46,CLIC
1968-09-29,36,CLIC
1968-09-30,0,CLIC
1968-10-01,0,CLIC
1968-10-02,0,CLIC
1968-10-03,10,CLIC
1968-10-04,8,CLIC
1968-10-05,6,CLIC
1968-10-06,0,CLIC
1968-10-07,4,CLIC
1968-10-08,3,CLIC
1968-10-09,15,CLIC
1968-10-10,9,CLIC
1968-10-11,7,CLIC
1968-10-12,0,CLIC
1968-10-13,0,CLIC
1968-10-14,0,CLIC
1968-10-15,0,CLIC
1968-10-16,0,CLIC
1968-10-17,0,CLIC
1968-10-18,0,CLIC
1968-10-19,0,CLIC
1968-10-20,0,CLIC
1968-10-21,0,CLIC
1968-10-22,0,CLIC
1968-10-23,0,CLIC
1968-10-24,0,CLIC
1968-10-25,0,CLIC
1968-10-26,0,CLIC
1968-10-27,0,CLIC
1968-10-28,0,CLIC
1968-10-29,0,CLIC
1968-10-30,0,CLIC
1968-10-31,0,CLIC
1968-11-01,0,CLIC
1968-11-02,0,CLIC
1968-11-03,0,CLIC
1968-11-04,0,CLIC
1968-11-05,0,CLIC
1968-11-06,0,CLIC
1968-11-07,0,CLIC
1968-11-08,0,CLIC
1968-11-09,0,CLIC
1968-11-10,0,CLIC
1968-11-11,0,CLIC
1968-11-12,0,CLIC
1968-11-13,0,CLIC
1968-11-14,0,CLIC
1968-11-15,0,CLIC
1968-11-16,0,CLIC
1968-11-17,0,CLIC
1968-11-18,0,CLIC
1968-11-19,2,CLIC
1968-11-20,0,CLIC
1968-11-21,0,CLIC
1968-11-22,0,CLIC
1968-11-23,0,CLIC
1968-11-24,0,CLIC
1968-11-25,0,CLIC
1968-11-26,0,CLIC
1968-11-27,0,CLIC
1968-11-28,0,CLIC
1968-11-29,0,CLIC
1968-11-30,0,CLIC
1969-01-01,0,CLIC
1969-01-02,8,CLIC
1969-01-03,6.5,CLIC
1969-01-04,5,CLIC
1969-01-05,0,CLIC
1969-01-06,0,CLIC
1969-01-07,0,CLIC
1969-01-08,0,CLIC
1969-01-09,0,CLIC
1969-01-10,0,CLIC
1969-01-11,0,CLIC
1969-01-12,0,CLIC
1969-01-13,0,CLIC
1969-01-14,0,CLIC
1969-01-15,6.3,CLIC
1969-01-16,0,CLIC
1969-01-17,0,CLIC
1969-01-18,0,CLIC
1969-01-19,0,CLIC
1969-01-20,0,CLIC
1969-01-21,0,CLIC
1969-01-22,0,CLIC
1969-01-23,0,CLIC
1969-01-24,0,CLIC
1969-01-25,0,CLIC
1969-01-26,0,CLIC
1969-01-27,0,CLIC
1969-01-28,0,CLIC
1969-01-29,0,CLIC
1969-01-30,0,CLIC
1969-01-31,0,CLIC
1969-02-01,0,CLIC
1969-02-02,0,CLIC
1969-02-03,0,CLIC
1969-02-04,0,CLIC
1969-02-05,0,CLIC
1969-02-06,0,CLIC
1969-02-07,0,CLIC
1969-02-08,0,CLIC
1969-02-09,0,CLIC
1969-02-10,0,CLIC
1969-02-11,12,CLIC
1969-02-12,10.3,CLIC
1969-02-13,0,CLIC
1969-02-14,0,CLIC
1969-02-15,0,CLIC
1969-02-16,5,CLIC
1969-02-17,0,CLIC
1969-02-18,0,CLIC
1969-02-19,0,CLIC
1969-02-20,0,CLIC
1969-02-21,0,CLIC
1969-02-22,0,CLIC
1969-02-23,0,CLIC
1969-02-24,0,CLIC
1969-02-25,0,CLIC
1969-02-26,0,CLIC
1969-02-27,0,CLIC
1969-02-28,0,CLIC
1969-03-01,0,CLIC
1969-03-02,0,CLIC
1969-03-03,0,CLIC
1969-03-04,0,CLIC
1969-03-05,0,CLIC
1969-03-06,0,CLIC
1969-03-07,0,CLIC
1969-03-08,0,CLIC
1969-03-09,15,CLIC
1969-03-10,0,CLIC
1969-03-11,0,CLIC
1969-03-12,0,CLIC
1969-03-13,0,CLIC
1969-03-14,0,CLIC
1969-03-15,6,CLIC
1969-03-16,0,CLIC
1969-03-17,0,CLIC
1969-03-18,0,CLIC
1969-03-19,0,CLIC
1969-03-20,0,CLIC
1969-03-21,0,CLIC
1969-03-22,0,CLIC
1969-03-23,0,CLIC
1969-03-24,0,CLIC
1969-03-25,0,CLIC
1969-03-26,0,CLIC
1969-03-27,0,CLIC
1969-03-28,0,CLIC
1969-03-29,14,CLIC
1969-03-30,0,CLIC
1969-03-31,0,CLIC
1969-04-01,0,CLIC
1969-04-02,0,CLIC
1969-04-03,6,CLIC
1969-04-04,16,CLIC
1969-04-05,22,CLIC
1969-04-06,7,CLIC
1969-04-07,0,CLIC
1969-04-08,0,CLIC
1969-04-09,0,CLIC
1969-04-10,0,CLIC
1969-04-11,0,CLIC
1969-04-12,0,CLIC
1969-04-13,0,CLIC
1969-04-14,0,CLIC
1969-04-15,0,CLIC
1969-04-16,0,CLIC
1969-04-17,0,CLIC
1969-04-18,0,CLIC
1969-04-19,0,CLIC
1969-04-20,4,CLIC
1969-04-21,0,CLIC
1969-04-22,0,CLIC
1969-04-23,0,CLIC
1969-04-24,0,CLIC
1969-04-25,0,CLIC
1969-04-26,0,CLIC
1969-04-27,0,CLIC
1969-04-28,17,CLIC
1969-04-29,0,CLIC
1969-04-30,0,CLIC
1969-05-01,0,CLIC
1969-05-02,0,CLIC
1969-05-03,0,CLIC
1969-05-04,0,CLIC
1969-05-05,0,CLIC
1969-05-06,0,CLIC
1969-05-07,15.5,CLIC
1969-05-08,6.5,CLIC
1969-05-09,7,CLIC
1969-05-10,14,CLIC
1969-05-11,0,CLIC
1969-05-12,0,CLIC
1969-05-13,0,CLIC
1969-05-14,0,CLIC
1969-05-15,0,CLIC
1969-05-16,25,CLIC
1969-05-17,3,CLIC
1969-05-18,0,CLIC
1969-05-19,0,CLIC
1969-05-20,0,CLIC
1969-05-21,0,CLIC
1969-05-22,12,CLIC
1969-05-23,0,CLIC
1969-05-24,0,CLIC
1969-05-25,0,CLIC
1969-05-26,0,CLIC
1969-05-27,7,CLIC
1969-05-28,0,CLIC
1969-05-29,5,CLIC
1969-05-30,0,CLIC
1969-05-31,0,CLIC
1969-06-01,16,CLIC
1969-06-02,15,CLIC
1969-06-03,21.5,CLIC
1969-06-04,12,CLIC
1969-06-05,0,CLIC
1969-06-06,0,CLIC
1969-06-07,0,CLIC
1969-06-08,0,CLIC
1969-06-09,0,CLIC
1969-06-10,0,CLIC
1969-06-11,3,CLIC
1969-06-12,0,CLIC
1969-06-13,0,CLIC
1969-06-14,0,CLIC
1969-06-15,0,CLIC
1969-06-16,0,CLIC
1969-06-17,0,CLIC
1969-06-18,0,CLIC
1969-06-19,0,CLIC
1969-06-20,0,CLIC
1969-06-21,0,CLIC
1969-06-22,0,CLIC
1969-06-23,0,CLIC
1969-06-24,5,CLIC
1969-06-25,0,CLIC
1969-06-26,0,CLIC
1969-06-27,3,CLIC
1969-06-28,0,CLIC
1969-06-29,21,CLIC
1969-06-30,0,CLIC
1969-07-01,0,CLIC
1969-07-02,0,CLIC
1969-07-03,0,CLIC
1969-07-04,0,CLIC
1969-07-05,0,CLIC
1969-07-06,0,CLIC
1969-07-07,0,CLIC
1969-07-08,0,CLIC
1969-07-09,0,CLIC
1969-07-10,0,CLIC
1969-07-11,7,CLIC
1969-07-12,0,CLIC
1969-07-13,0,CLIC
1969-07-14,0,CLIC
1969-07-15,0,CLIC
1969-07-16,0,CLIC
1969-07-17,0,CLIC
1969-07-18,0,CLIC
1969-07-19,26,CLIC
1969-07-20,0,CLIC
1969-07-21,9,CLIC
1969-07-22,0,CLIC
1969-07-23,33,CLIC
1969-07-24,12,CLIC
1969-07-25,0,CLIC
1969-07-26,10,CLIC
1969-07-27,15,CLIC
1969-07-28,0,CLIC
1969-07-29,0,CLIC
1969-07-30,7,CLIC
1969-07-31,0,CLIC
1969-08-01,54,CLIC
1969-08-02,7,CLIC
1969-08-03,6,CLIC
1969-08-04,0,CLIC
1969-08-05,0,CLIC
1969-08-06,0,CLIC
1969-08-07,2.3,CLIC
1969-08-08,1,CLIC
1969-08-09,0,CLIC
1969-08-10,0,CLIC
1969-08-11,0,CLIC
1969-08-12,0,CLIC
1969-08-13,0,CLIC
1969-08-14,0,CLIC
1969-08-15,0,CLIC
1969-08-16,0,CLIC
1969-08-17,0,CLIC
1969-08-18,0,CLIC
1969-08-19,0.3,CLIC
1969-08-20,0.7,CLIC
1969-08-21,20.3,CLIC
1969-08-22,16,CLIC
1969-08-23,7,CLIC
1969-08-24,0,CLIC
1969-08-25,0,CLIC
1969-08-26,4.5,CLIC
1969-08-27,125,CLIC
1969-08-28,45,CLIC
1969-08-29,43.5,CLIC
1969-08-30,31,CLIC
1969-08-31,17,CLIC
1969-09-01,25,CLIC
1969-09-02,24,CLIC
1969-09-03,0,CLIC
1969-09-04,0,CLIC
1969-09-05,10,CLIC
1969-09-06,25,CLIC
1969-09-07,0,CLIC
1969-09-08,25,CLIC
1969-09-09,22,CLIC
1969-09-10,36,CLIC
1969-09-11,51,CLIC
1969-09-12,21,CLIC
1969-09-13,0,CLIC
1969-09-14,1,CLIC
1969-09-15,0,CLIC
1969-09-16,18,CLIC
1969-09-17,12,CLIC
1969-09-18,145,CLIC
1969-09-19,5,CLIC
1969-09-20,16,CLIC
1969-09-21,18,CLIC
1969-09-22,97,CLIC
1969-09-23,20,CLIC
1969-09-24,0.5,CLIC
1969-09-25,0.7,CLIC
1969-09-26,11,CLIC
1969-09-27,0,CLIC
1969-09-28,0,CLIC
1969-09-29,0,CLIC
1969-09-30,0,CLIC
1969-10-01,0,CLIC
1969-10-02,0,CLIC
1969-10-03,0,CLIC
1969-10-04,0,CLIC
1969-10-05,15,CLIC
1969-10-06,0,CLIC
1969-10-07,16,CLIC
1969-10-08,0,CLIC
1969-10-09,0,CLIC
1969-10-10,0,CLIC
1969-10-11,0,CLIC
1969-10-12,25,CLIC
1969-10-13,0,CLIC
1969-10-14,1,CLIC
1969-10-15,0,CLIC
1969-10-16,0,CLIC
1969-10-17,0,CLIC
1969-10-18,0,CLIC
1969-10-19,0,CLIC
1969-10-20,0,CLIC
1969-10-21,0,CLIC
1969-10-22,11,CLIC
1969-10-23,0,CLIC
1969-10-24,0,CLIC
1969-10-25,0,CLIC
1969-10-26,97,CLIC
1969-10-27,0,CLIC
1969-10-28,0,CLIC
1969-10-29,0,CLIC
1969-10-30,0,CLIC
1969-10-31,0,CLIC
1969-12-01,0,CLIC
1969-12-02,0,CLIC
1969-12-03,0,CLIC
1969-12-04,4,CLIC
1969-12-05,0,CLIC
1969-12-06,0,CLIC
1969-12-07,0,CLIC
1969-12-08,4,CLIC
1969-12-09,0,CLIC
1969-12-10,0,CLIC
1969-12-11,0,CLIC
1969-12-12,0,CLIC
1969-12-13,0,CLIC
1969-12-14,0,CLIC
1969-12-15,0,CLIC
1969-12-16,0,CLIC
1969-12-17,0,CLIC
1969-12-18,0,CLIC
1969-12-19,0,CLIC
1969-12-20,0,CLIC
1969-12-21,0,CLIC
1969-12-22,0,CLIC
1969-12-23,0,CLIC
1969-12-24,0,CLIC
1969-12-25,0,CLIC
1969-12-26,0,CLIC
